NewVisitor,Returning,GoogleCPC,BINGCPC,Facebook,Tripadvisor,Referrals,OrganicDirect,Mobile,Tablet,Desktop,Users,Sessions,PagesVisitedNumber,TransactionsNumber,Revenue
0,1,0,0,0,0,0,0,0,0,1,728,729,2254,2,3650.22
0,1,0,0,0,0,0,0,0,1,0,2263,4687,23094,2,3634.74
1,0,0,0,0,0,0,0,0,1,0,1173,1174,4587,1,3628.29
1,0,0,0,0,0,0,0,0,0,1,154,232,744,2,3591.18
1,0,0,0,0,0,0,0,0,0,1,119,191,816,4,3575.01
1,0,0,0,0,0,0,0,0,0,1,163,248,1106,2,3534.08
0,1,0,0,0,0,0,0,0,0,1,100,174,804,3,3506.1
1,0,0,0,0,0,0,0,1,0,0,4983,10400,38528,7,3504.74
1,0,0,0,0,0,0,0,0,0,1,1,3,25,1,3490.45
0,1,0,0,0,0,0,0,0,0,1,55,113,533,3,3479.71
0,1,0,0,0,0,0,0,0,0,1,49,70,228,2,3475.33
0,1,0,0,0,0,0,0,0,0,1,8,15,41,2,3472.86
1,0,0,0,0,0,0,0,0,0,1,12,18,31,1,3460.6
1,0,0,0,0,0,0,0,0,0,1,6,8,34,1,3425.5
1,0,0,0,0,0,0,0,0,0,1,10,17,62,1,3420
0,1,0,0,0,0,0,0,0,0,1,51,78,351,2,3371.01
0,1,0,0,0,0,0,0,0,0,1,1,1,9,1,3334.2
0,1,0,0,0,0,0,0,0,0,1,5,5,13,1,3300.22
0,1,0,0,0,0,0,0,0,1,0,35,59,144,2,3289.95
1,0,0,0,0,0,0,0,0,0,1,1,1,15,1,3284.35
1,0,0,0,0,0,0,0,0,0,1,9,13,48,1,3278.88
1,0,0,0,0,0,0,0,0,0,1,17,17,74,1,3268.71
1,0,0,0,0,0,0,0,0,0,1,4,19,50,1,3225.82
1,0,0,0,0,0,0,0,0,0,1,264,388,1588,3,3222.88
1,0,0,0,0,0,0,0,0,0,1,74,110,314,1,3134.04
0,1,0,0,0,0,0,0,0,0,1,34,55,199,1,3129.6
0,1,0,0,0,0,0,0,0,0,1,1,1,21,1,3125.97
1,0,0,0,0,0,0,0,0,0,1,188,271,1193,3,3114.25
1,0,0,0,0,0,0,0,0,0,1,2,4,33,2,3110.51
1,0,0,0,0,0,0,0,0,0,1,2025,3452,11739,4,3102.56
1,0,0,0,0,0,0,0,0,0,1,2,9,72,2,3086.91
1,0,0,0,0,0,0,0,0,0,1,2,6,26,1,3069.39
1,0,0,0,0,0,0,0,0,0,1,81,125,289,3,3062.3
0,1,0,0,0,0,0,0,0,0,1,82,433,928,1,3053.58
0,1,0,0,0,0,0,0,0,0,1,5,13,88,1,3027.66
1,0,0,0,0,0,0,0,0,0,1,260,260,801,1,2997
1,0,0,0,0,0,0,0,0,0,1,129,336,937,2,2982.9
1,0,0,0,0,0,0,0,0,0,1,2,2,13,1,2973.49
0,1,0,0,0,0,0,0,0,0,1,11,21,115,2,2945.6
1,0,0,0,0,0,0,0,0,0,1,6,34,134,1,2910
1,0,0,0,0,0,0,0,0,0,1,78,78,236,1,2909.48
1,0,0,0,0,0,0,0,0,0,1,204,204,539,2,2907.13
1,0,0,0,0,0,0,0,0,0,1,114,170,766,1,2906.4
0,1,0,0,0,0,0,0,0,0,1,41,42,158,1,2902.09
0,1,0,0,0,0,0,0,0,0,1,10,10,21,1,2895.9
0,1,0,0,0,0,0,0,0,0,1,23,26,107,1,2880
0,1,0,0,0,0,0,0,0,1,0,54,54,222,1,2842
1,0,0,0,0,0,0,0,0,0,1,18,27,106,1,2840.4
1,0,0,0,0,0,0,0,0,0,1,56,167,478,2,2838
1,0,0,0,0,0,0,0,0,0,1,3,3,10,1,2836.04
0,1,0,0,0,0,0,0,0,0,1,217,324,1500,2,2813.41
1,0,0,0,0,0,0,0,1,0,0,195,195,617,1,2788.36
1,0,0,0,0,0,0,0,0,1,0,2184,3375,13612,2,2776.76
0,1,0,0,0,0,0,0,0,0,1,26,50,152,1,2769.5
1,0,0,0,0,0,0,0,0,0,1,230,299,719,1,2765.69
1,0,0,0,0,0,0,0,0,0,1,2,2,17,2,2755.28
1,0,0,0,0,0,0,0,0,0,1,174,174,558,1,2747.76
1,0,0,0,0,0,0,0,0,0,1,3,4,22,1,2722.51
0,1,0,0,0,0,0,0,0,0,1,81,122,293,3,2683.55
0,1,0,0,0,0,0,0,0,0,1,171,231,570,3,2673.3
1,0,0,0,0,0,0,0,0,0,1,34,47,177,1,2635.92
1,0,0,0,0,0,0,0,0,0,1,778,779,1616,2,2606.6
1,0,0,0,0,0,0,0,0,0,1,278,278,948,1,2593.74
0,1,0,0,0,0,0,0,0,1,0,264,264,415,1,2592
0,1,0,0,0,0,0,0,0,0,1,5,5,50,2,2571.88
1,0,0,0,0,0,0,0,0,0,1,4,4,31,1,2562
1,0,0,0,0,0,0,0,0,0,1,6,7,19,1,2539.35
0,1,0,0,0,0,0,0,1,0,0,1,6,21,2,2537.6
0,1,0,0,0,0,0,0,0,1,0,113,113,348,1,2522.1
0,1,0,0,0,0,0,0,0,0,1,359,359,1070,1,2517.61
0,1,0,0,0,0,0,0,0,0,1,25,44,296,1,2494.7
1,0,0,0,0,0,0,0,0,1,0,399,398,1583,1,2480.62
0,1,0,0,0,0,0,0,1,0,0,8209,8226,34460,2,2479.31
1,0,0,0,0,0,0,0,0,0,1,643,646,2137,2,2473.84
1,0,0,0,0,0,0,0,0,1,0,21,38,158,1,2470.37
1,0,0,0,0,0,0,0,0,0,1,120,183,708,1,2461.18
1,0,0,0,0,0,0,0,0,1,0,9495,9507,46428,2,2460.84
1,0,0,0,0,0,0,0,1,0,0,775,775,2989,1,2411.96
1,0,0,0,0,0,0,0,0,0,1,7,12,60,1,2397.6
1,0,0,0,0,0,0,0,0,0,1,364,364,969,1,2369.68
1,0,0,0,0,0,0,0,0,0,1,342,344,1050,1,2322.75
1,0,0,0,0,0,0,0,0,0,1,425,428,1270,1,2322.46
1,0,0,0,0,0,0,0,0,0,1,1,3,90,1,2299.5
1,0,0,0,0,0,0,0,0,0,1,18,29,99,1,2286.17
0,1,0,0,0,0,0,0,0,0,1,1481,1488,3855,3,2283.76
0,1,0,0,0,0,0,0,0,1,0,4,4,18,1,2268
0,1,0,0,0,0,0,0,0,0,1,260,261,951,2,2262.88
1,0,0,0,0,0,0,0,0,0,1,990,1555,6410,1,2261
1,0,0,0,0,0,0,0,0,0,1,1,1,32,1,2252.48
1,0,0,0,0,0,0,0,0,0,1,10,16,41,1,2248.72
1,0,0,0,0,0,0,0,0,0,1,109,164,596,2,2245.57
1,0,0,0,0,0,0,0,0,1,0,2305,3788,13219,1,2229.38
1,0,0,0,0,0,0,0,0,0,1,387,390,1240,1,2226
0,1,0,0,0,0,0,0,0,0,1,139,224,953,1,2223.48
0,1,0,0,0,0,0,0,0,0,1,18,29,139,2,2209.84
0,1,0,0,0,0,0,0,0,0,1,3649,3662,18191,2,2208
0,1,0,0,0,0,0,0,1,0,0,213,315,672,2,2197.79
1,0,0,0,0,0,0,0,0,0,1,64,64,232,1,2182.95
1,0,0,0,0,0,0,0,0,0,1,1,7,53,1,2181.15
1,0,0,0,0,0,0,0,0,0,1,1061,1069,3697,1,2161.41
1,0,0,0,0,0,0,0,0,0,1,25,37,243,1,2156.96
1,0,0,0,0,0,0,0,0,0,1,538,538,1266,2,2143.32
1,0,0,0,0,0,0,0,0,0,1,305,306,498,6,2141.61
0,1,0,0,0,0,0,0,0,1,0,24,24,127,1,2133.13
0,1,0,0,0,0,0,0,0,0,1,4254,4276,21514,1,2116.8
0,1,0,0,0,0,0,0,0,1,0,2327,2332,8136,1,2116.12
0,1,0,0,0,0,0,0,0,1,0,848,1525,7412,1,2100
0,1,0,0,0,0,0,0,0,0,1,4,4,35,1,2089.96
1,0,0,0,0,0,0,0,0,0,1,290,292,609,4,2086.5
1,0,0,0,0,0,0,0,0,0,1,114,585,1419,1,2085
1,0,0,0,0,0,0,0,0,0,1,1665,1666,6481,2,2084.12
1,0,0,0,0,0,0,0,0,0,1,37,42,191,1,2079
1,0,0,0,0,0,0,0,0,0,1,35,189,645,2,2069.63
1,0,0,0,0,0,0,0,0,0,1,296,354,964,1,2051.78
1,0,0,0,0,0,0,0,0,0,1,15,26,124,1,2043.36
1,0,0,0,0,0,0,0,0,0,1,669,671,2110,1,2040.08
0,1,0,0,0,0,0,0,0,0,1,27,37,132,1,2036.68
0,1,0,0,0,0,0,0,0,0,1,2097,2099,8008,2,2010.6
1,0,0,0,0,0,0,0,0,0,1,75,120,386,1,2009.61
