Tipo de usuario,Fuente/medio,Código ISO del país,Categoría de dispositivo,Usuarios,Sesiones,Número de páginas vistas,Transacciones,Ingresos
New Visitor,dfa / cpc,FR,desktop,470,470,1870,2,1456.97
Returning Visitor,(direct) / (none),CH,mobile,470,978,2299,0,0
New Visitor,google / organic,DO,tablet,469,472,2112,0,0
New Visitor,dfa / cpc,AT,tablet,466,466,1064,0,0
New Visitor,bing / organic,GB,tablet,464,464,1935,0,0
Returning Visitor,(direct) / (none),CL,mobile,463,983,3692,0,0
New Visitor,(direct) / (none),PE,desktop,462,463,1232,0,0
Returning Visitor,google / organic,BE,mobile,461,787,4623,0,0
New Visitor,trivago.it / referral,IT,desktop,458,459,688,0,0
Returning Visitor,google / organic,PT,tablet,458,818,4177,0,0
New Visitor,google / organic,LU,desktop,454,455,1591,0,0
Returning Visitor,bing / organic,US,tablet,453,777,4067,0,0
New Visitor,yahoo / organic,CA,mobile,452,453,2690,0,0
New Visitor,tripadvisor / cpc,ES,mobile,451,453,1345,0,0
New Visitor,yahoo / organic,GB,tablet,451,453,1918,0,0
Returning Visitor,google / organic,UY,desktop,451,763,3276,2,3669.8
New Visitor,(direct) / (none),DK,desktop,449,450,1248,4,7587.17
Returning Visitor,yandex / organic,RU,desktop,447,847,4142,10,18386.16
New Visitor,google / organic,CZ,desktop,446,446,1349,0,0
New Visitor,google / organic,CO,mobile,430,432,2948,0,0
Returning Visitor,dfa / cpc,DE,desktop,430,677,2493,6,6111.63
Returning Visitor,google / organic,PL,desktop,430,813,2599,3,9643.08
New Visitor,google / organic,AT,mobile,429,430,2525,0,0
New Visitor,dfa / cpc,US,mobile,426,427,1791,0,0
New Visitor,clubs.inspiringbenefits.com / referral,ES,desktop,425,428,1270,1,2322.46
New Visitor,google / organic,NO,desktop,425,425,1278,1,1018.56
New Visitor,google / cpc,IE,desktop,422,424,1540,1,1716.31
Returning Visitor,dfa / cpm,GB,tablet,422,1172,2671,1,1756
Returning Visitor,10.59.1.1 / referral,CV,mobile,421,3969,6439,0,0
New Visitor,trivago.es / referral,ES,tablet,420,421,651,1,86.11
New Visitor,google / organic,IE,tablet,418,422,1878,0,0
Returning Visitor,email / email,ES,mobile,418,568,2265,0,0
New Visitor,yahoo / organic,CA,tablet,414,415,1820,0,0
New Visitor,bing / organic,MX,desktop,405,408,1635,0,0
New Visitor,facebook.com / referral,US,desktop,403,404,1278,0,0
Returning Visitor,iberostartheclub.com / referral,US,desktop,402,1005,5032,0,0
